order_id,customer_id,product_id,quantity,order_date,ship_date,delivery_date,price,total_price,category
676,47,33,2,2024-12-24,2024-12-25,2025-01-02,193.22,386.44,Books
889,18,33,3,2025-03-13,2025-03-19,2025-03-26,193.22,579.66,Books
488,97,33,1,2025-07-12,2025-07-14,2025-07-16,193.22,193.22,Books
515,68,33,2,2025-06-20,2025-06-23,2025-06-28,193.22,386.44,Books
591,51,33,3,2025-07-05,2025-07-06,2025-07-09,193.22,579.66,Books
529,46,33,1,2024-12-30,2025-01-04,2025-01-06,193.22,193.22,Books
861,33,1,2,2025-09-01,2025-09-03,2025-09-05,251.82,503.64,Books
749,6,3,2,2025-06-13,2025-06-14,2025-06-24,431.94,863.88,Books
791,38,3,3,2025-05-17,2025-05-22,2025-05-27,431.94,1295.82,Books
298,99,26,5,2024-10-25,2024-10-27,2024-10-30,383.36,1916.8,Books
738,6,26,1,2025-06-22,2025-06-24,2025-06-28,383.36,383.36,Books
279,90,26,3,2025-06-09,2025-06-16,2025-06-21,383.36,1150.08,Books
369,85,26,3,2025-06-01,2025-06-04,2025-06-10,383.36,1150.08,Books
53,73,34,3,2025-06-16,2025-06-23,2025-06-25,89.16,267.48,Books
287,61,34,4,2025-01-24,2025-01-29,,89.16,356.64,Books
191,90,17,3,2025-09-09,2025-09-11,,377.93,1133.79,Books
283,78,17,1,2025-03-09,2025-03-11,2025-03-19,377.93,377.93,Books
178,7,17,4,2025-02-19,2025-02-22,2025-02-23,377.93,1511.72,Books
667,100,17,4,2024-12-06,2024-12-10,2024-12-20,377.93,1511.72,Books
964,39,44,1,2025-06-17,2025-06-17,2025-06-26,127.33,127.33,Books
490,37,44,5,2024-10-13,2024-10-20,,127.33,636.65,Books
484,7,44,1,2024-09-18,2024-09-18,2024-09-20,127.33,127.33,Books
353,73,44,2,2024-10-10,2024-10-10,2024-10-15,127.33,254.66,Books
824,73,44,2,2024-10-25,2024-10-26,2024-10-31,127.33,254.66,Books
698,79,35,1,2025-04-17,2025-04-20,2025-04-29,477.21,477.21,Books
26,14,16,2,2025-05-01,2025-05-01,2025-05-02,443.55,887.1,Books
345,9,16,3,2025-08-29,2025-08-30,2025-09-08,443.55,1330.65,Books
885,58,39,1,2025-03-31,2025-04-07,2025-04-13,249.42,249.42,Clothing
322,76,38,4,2024-11-13,2024-11-14,2024-11-22,303.48,1213.92,Clothing
288,36,12,5,2025-02-20,2025-02-22,2025-03-01,281.08,1405.4,Clothing
647,89,29,3,2024-12-11,2024-12-13,2024-12-18,316.4,949.2,Clothing
654,87,29,1,2024-12-24,2024-12-29,,316.4,316.4,Clothing
303,81,29,1,2025-04-17,2025-04-19,2025-04-20,316.4,316.4,Clothing
645,40,29,5,2025-07-01,2025-07-05,2025-07-12,316.4,1582.0,Clothing
755,95,20,5,2024-10-26,2024-10-27,,153.82,769.1,Clothing
917,43,20,1,2025-02-18,2025-02-24,2025-03-05,153.82,153.82,Clothing
480,48,20,3,2025-04-08,2025-04-12,2025-04-14,153.82,461.46,Clothing
666,72,8,3,2025-03-13,2025-03-15,2025-03-22,198.54,595.62,Clothing
184,7,23,2,2025-07-17,2025-07-24,,363.83,727.66,Clothing
373,78,23,2,2025-01-13,2025-01-16,2025-01-23,363.83,727.66,Clothing
516,100,23,3,2025-03-10,2025-03-14,2025-03-22,363.83,1091.49,Clothing
249,15,5,4,2025-02-24,2025-02-24,,88.39,353.56,Clothing
575,97,48,4,2025-06-02,2025-06-06,2025-06-13,368.63,1474.52,Clothing
774,61,48,1,2025-05-10,2025-05-13,2025-05-19,368.63,368.63,Clothing
742,58,49,5,2024-11-23,2024-11-26,2024-12-03,409.85,2049.25,Clothing
831,58,49,3,2025-07-17,2025-07-19,2025-07-25,409.85,1229.55,Clothing
12,76,15,1,2025-08-29,2025-08-31,2025-09-07,66.13,66.13,Clothing
295,98,36,1,2025-01-20,2025-01-25,2025-01-26,461.99,461.99,Clothing
556,40,36,4,2025-05-30,2025-05-31,2025-06-05,461.99,1847.96,Clothing
992,46,36,4,2025-03-18,2025-03-19,2025-03-28,461.99,1847.96,Clothing
850,8,36,5,2025-07-02,2025-07-05,2025-07-08,461.99,2309.95,Clothing
202,69,28,3,2025-08-07,2025-08-07,2025-08-13,62.14,186.42,Electronics
715,78,10,3,2025-01-31,2025-02-02,2025-02-09,239.34,718.02,Electronics
463,28,10,4,2024-12-13,2024-12-16,2024-12-24,239.34,957.36,Electronics
520,78,10,1,2025-08-15,2025-08-16,2025-08-21,239.34,239.34,Electronics
958,68,10,2,2025-03-02,2025-03-02,,239.34,478.68,Electronics
247,57,22,2,2024-09-16,2024-09-16,2024-09-24,11.59,23.18,Electronics
99,52,22,3,2025-04-01,2025-04-03,2025-04-12,11.59,34.77,Electronics
126,84,21,4,2025-02-08,2025-02-10,2025-02-11,87.5,350.0,Home
395,72,21,5,2025-06-12,2025-06-13,2025-06-17,87.5,437.5,Home
724,21,21,5,2025-04-28,2025-04-29,2025-05-02,87.5,437.5,Home
310,71,27,1,2025-06-18,2025-06-20,2025-06-28,258.76,258.76,Home
953,71,27,1,2025-01-18,2025-01-19,2025-01-28,258.76,258.76,Home
590,4,27,1,2025-06-27,2025-07-02,2025-07-07,258.76,258.76,Home
797,18,7,5,2024-10-05,2024-10-05,2024-10-07,302.24,1511.2,Home
643,42,7,1,2025-08-30,2025-09-03,2025-09-10,302.24,302.24,Home
59,73,7,1,2024-10-25,2024-10-27,,302.24,302.24,Home
536,58,37,2,2025-07-12,2025-07-15,2025-07-17,460.06,920.12,Home
