product_id,product_name,category,price
1,Little Pro,Books,251.82
2,Risk Pro,Home Appliances,380.33
3,Phone Lite,Books,431.94
4,Many Plus,Home Appliances,84.89
5,Film Plus,Clothing,88.39
6,Alone Plus,Home Appliances,343.44
7,Each Pro,Home Appliances,302.24
8,Fight Pro,Clothing,198.54
9,Seat Max,Home Appliances,301.99
10,Fear Pro,Electronics,239.34
11,Scientist Pro,Sports Equipment,133.19
12,Trade Pro,Clothing,281.08
13,Long Plus,Sports Equipment,471.79
14,Avoid Plus,clothing,0.0
15,Right Pro,Clothing,66.13
16,East Plus,Books,443.55
17,Window Max,Books,377.93
18,Everything Plus,home appliances,386.61
19,Store Max,Sports Equipment,176.69
20,Strong Lite,Clothing,153.82
21,Process Pro,Home Appliances,87.5
22,Perform Plus,Electronics,11.59
23,Recently Max,Clothing,363.83
24,Summer Lite,Electronics,362.64
25,World Lite,Home Appliances,486.23
26,Decade Plus,Books,383.36
27,Large Plus,Home Appliances,258.76
28,Building Lite,Electronics,62.14
29,Off Pro,Clothing,316.4
30,Down Pro,Sports Equipment,422.42
31,Raise Max,home appliances,258.75
32,Church Pro,Clothing,107.47
33,When Lite,Books,193.22
34,Exactly Lite,Books,89.16
35,The Lite,Books,477.21
36,Change Pro,Clothing,461.99
37,Away Max,Home Appliances,460.06
38,As Pro,Clothing,303.48
39,Company Max,Clothing,249.42
40,Structure Pro,sports equipment,-7.99
41,Food Lite,Sports Equipment,187.86
42,Physical Lite,Home Appliances,492.81
43,Smile Plus,Sports Equipment,405.32
44,Thank Pro,Books,127.33
45,Outside Pro,Sports Equipment,128.03
46,Will Plus,books,288.0
47,Fight Lite,Home Appliances,48.59
48,Leg Pro,Clothing,368.63
49,Capital Plus,Clothing,409.85
50,Management Pro,Sports Equipment,489.21
